id,ARSON,ASSAULT,BAD CHECKS,BRIBERY,BURGLARY,DISORDERLY CONDUCT,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC,DRUNKENNESS,EMBEZZLEMENT,EXTORTION,FAMILY OFFENSES,FORGERY/COUNTERFEITING,FRAUD,GAMBLING,KIDNAPPING,LARCENY/THEFT,LIQUOR LAWS,LOITERING,MISSING PERSON,NON-CRIMINAL,OTHER OFFENSES,PORNOGRAPHY/OBSCENE MAT,PROSTITUTION,RECOVERED VEHICLE,ROBBERY,RUNAWAY,SECONDARY CODES,SEX OFFENSES FORCIBLE,SEX OFFENSES NON FORCIBLE,STOLEN PROPERTY,SUICIDE,SUSPICIOUS OCC,TREA,TRESPASS,VANDALISM,VEHICLE THEFT,WARRANTS,WEAPON LAWS
784135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0.207450876359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784136,0,0,0,0,0,0,0,0.180204906197,0,0,0,0,0,0,0,0,0.207450876359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784138,0,0,0,0,0.207450876359,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784140,0,0,0,0,0.207450876359,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0.207450876359,0,0,0,0,0,0,0,0,0,0
784144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784149,0,0,0,0,0,0,0,0.180204906197,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359,0,0,0,0,0,0
784150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180204906197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784154,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0.207450876359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180204906197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207450876359
784156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0.207450876359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784157,0,0,0,0,0.207450876359,0,0,0,0,0,0,0,0,0,0,0,0.612344217444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
